date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:18	52/52	---M-Z	200	added ('OK')	text/plain	date:Fri,%2004%20Jul%202014%2008:54:46%20GMT	http://learnix.in/robots.txt		(from )
20:56:19	9266/9266	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2007:07:14%20GMT	http://learnix.in/	C:/My%20Web%20Sites/learnix/learnix.in/index.html	(from )
20:56:20	132546/132546	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Jul%202014%2019:11:28%20GMT	http://learnix.in/css/bootstrap.css	C:/My%20Web%20Sites/learnix/learnix.in/css/bootstrap.css	(from http://learnix.in/)
20:56:20	109518/109518	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Jul%202014%2019:11:28%20GMT	http://learnix.in/css/bootstrap.min.css	C:/My%20Web%20Sites/learnix/learnix.in/css/bootstrap.min.css	(from http://learnix.in/)
20:56:22	4725/4725	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Jul%202014%2019:11:27%20GMT	http://learnix.in/style.css	C:/My%20Web%20Sites/learnix/learnix.in/style.css	(from http://learnix.in/)
20:56:22	9266/9266	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2007:07:14%20GMT	http://learnix.in/index.html	C:/My%20Web%20Sites/learnix/learnix.in/index-2.html	(from http://learnix.in/)
20:56:22	4595/4595	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Jul%202014%2006:23:21%20GMT	http://learnix.in/logo.png	C:/My%20Web%20Sites/learnix/learnix.in/logo.png	(from http://learnix.in/)
20:56:22	10019/10019	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2007:45:12%20GMT	http://learnix.in/ABOUT.html	C:/My%20Web%20Sites/learnix/learnix.in/ABOUT.html	(from http://learnix.in/)
20:56:23	6928/6928	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2007:45:55%20GMT	http://learnix.in/Career.html	C:/My%20Web%20Sites/learnix/learnix.in/Career.html	(from http://learnix.in/)
20:56:23	6182/6182	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2007:48:32%20GMT	http://learnix.in/Partners.html	C:/My%20Web%20Sites/learnix/learnix.in/Partners.html	(from http://learnix.in/)
20:56:23	7253/7253	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2007:46:23%20GMT	http://learnix.in/Contact.html	C:/My%20Web%20Sites/learnix/learnix.in/Contact.html	(from http://learnix.in/)
20:56:23	8065/8065	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2007:47:10%20GMT	http://learnix.in/Product.html	C:/My%20Web%20Sites/learnix/learnix.in/Product.html	(from http://learnix.in/)
20:56:23	6256/6256	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Jul%202014%2019:12:55%20GMT	http://learnix.in/res/logo_small/digital.png	C:/My%20Web%20Sites/learnix/learnix.in/res/logo_small/digital.png	(from http://learnix.in/)
20:56:24	4353/4353	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Jul%202014%2019:12:56%20GMT	http://learnix.in/res/logo_small/smartgyan.png	C:/My%20Web%20Sites/learnix/learnix.in/res/logo_small/smartgyan.png	(from http://learnix.in/)
20:56:24	6933/6933	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Jul%202014%2019:12:55%20GMT	http://learnix.in/res/logo_small/entrancesol.png	C:/My%20Web%20Sites/learnix/learnix.in/res/logo_small/entrancesol.png	(from http://learnix.in/)
20:56:26	95786/95786	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Jul%202014%2019:11:27%20GMT	http://learnix.in/jquery-1.11.1.min.js	C:/My%20Web%20Sites/learnix/learnix.in/jquery-1.11.1.min.js	(from http://learnix.in/)
20:56:26	55258/55258	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Jul%202014%2019:11:31%20GMT	http://learnix.in/js/bootstrap.js	C:/My%20Web%20Sites/learnix/learnix.in/js/bootstrap.js	(from http://learnix.in/)
20:56:26	810/810	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Jul%202014%2019:11:27%20GMT	http://learnix.in/jquery.js	C:/My%20Web%20Sites/learnix/learnix.in/jquery.js	(from http://learnix.in/)
20:56:26	20335/20335	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2003%20Jul%202014%2019:11:29%20GMT	http://learnix.in/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/learnix/learnix.in/fonts/glyphicons-halflings-regular.eot	(from http://learnix.in/css/bootstrap.css)
20:56:28	62927/62927	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2003%20Jul%202014%2019:11:29%20GMT	http://learnix.in/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/learnix/learnix.in/fonts/glyphicons-halflings-regular.svg	(from http://learnix.in/css/bootstrap.css)
20:56:30	23320/23320	---M--	200	added ('OK')	application/font-woff	date:Thu,%2003%20Jul%202014%2019:11:29%20GMT	http://learnix.in/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/learnix/learnix.in/fonts/glyphicons-halflings-regular.woff	(from http://learnix.in/css/bootstrap.css)
20:56:31	20335/20335	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2003%20Jul%202014%2019:11:29%20GMT	http://learnix.in/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/learnix/learnix.in/fonts/glyphicons-halflings-regulard41d.eot	(from http://learnix.in/css/bootstrap.css)
